"Team","exp_win","exp_loss","exp_tie","Year","W","L","T","X.","exp_perc","perc_dif","games_dif"
"$",79,111,20,2021,77,117,16,0.405,0.423809523809524,-0.0188095238095238,-3.9652740097667
"COGO",116,72,22,2021,119,79,12,0.595,0.604761904761905,-0.00976190476190475,-3.36234687298519
"GRAF",90,104,16,2021,97,99,14,0.495,0.466666666666667,0.0283333333333333,6.50589101620029
"JEFF",82,113,15,2021,84,114,12,0.429,0.426190476190476,0.00280952380952382,0.783216783216787
"LGM",109,74,27,2021,120,79,11,0.598,0.583333333333333,0.0146666666666666,1.55119861603097
"LOY",96,95,19,2021,95,106,9,0.474,0.502380952380952,-0.0283809523809524,-6.2960068766117
"MASO",111,84,15,2021,106,94,10,0.529,0.564285714285714,-0.0352857142857143,-8.23846153846152
"O'S",96,91,23,2021,115,85,10,0.571,0.511904761904762,0.0590952380952381,12.9425133689839
"SICK",79,113,18,2021,75,121,14,0.39,0.419047619047619,-0.029047619047619,-6.04910714285715
"WAR",95,94,21,2021,105,99,6,0.514,0.502380952380952,0.0116190476190476,2.53267973856208
