"Team","categories","totals.x","totals.y","highlight"
"GRAF","R",834,954,0
"COGO","R",932,954,0
"$","R",834,954,0
"LOY","R",848,954,0
"JEFF","R",867,954,0
"SICK","R",811,954,0
"LGM","R",954,954,1
"WAR","R",864,954,0
"O'S","R",880,954,0
"MASO","R",868,954,0
"GRAF","HR",250,271,0
"COGO","HR",269,271,0
"$","HR",218,271,0
"LOY","HR",226,271,0
"JEFF","HR",240,271,0
"SICK","HR",254,271,0
"LGM","HR",270,271,0
"WAR","HR",271,271,1
"O'S","HR",232,271,0
"MASO","HR",242,271,0
"GRAF","RBI",858,879,0
"COGO","RBI",879,879,1
"$","RBI",718,879,0
"LOY","RBI",820,879,0
"JEFF","RBI",826,879,0
"SICK","RBI",803,879,0
"LGM","RBI",844,879,0
"WAR","RBI",863,879,0
"O'S","RBI",838,879,0
"MASO","RBI",795,879,0
"GRAF","SB",72,144,0
"COGO","SB",83,144,0
"$","SB",103,144,0
"LOY","SB",107,144,0
"JEFF","SB",61,144,0
"SICK","SB",71,144,0
"LGM","SB",144,144,1
"WAR","SB",76,144,0
"O'S","SB",97,144,0
"MASO","SB",110,144,0
"GRAF","AVG",0.2542,0.2701,0
"COGO","AVG",0.2642,0.2701,0
"$","AVG",0.2496,0.2701,0
"LOY","AVG",0.2633,0.2701,0
"JEFF","AVG",0.2537,0.2701,0
"SICK","AVG",0.255,0.2701,0
"LGM","AVG",0.2581,0.2701,0
"WAR","AVG",0.2701,0.2701,1
"O'S","AVG",0.2668,0.2701,0
"MASO","AVG",0.2663,0.2701,0
"GRAF","K",1331,1334,0
"COGO","K",1274,1334,0
"$","K",1042,1334,0
"LOY","K",1284,1334,0
"JEFF","K",783,1334,0
"SICK","K",807,1334,0
"LGM","K",1334,1334,1
"WAR","K",1268,1334,0
"O'S","K",1018,1334,0
"MASO","K",1237,1334,0
"GRAF","W",79,83,0
"COGO","W",73,83,0
"$","W",67,83,0
"LOY","W",67,83,0
"JEFF","W",43,83,0
"SICK","W",57,83,0
"LGM","W",82,83,0
"WAR","W",83,83,1
"O'S","W",71,83,0
"MASO","W",77,83,0
"GRAF","SV",15,90,0
"COGO","SV",52,90,0
"$","SV",5,90,0
"LOY","SV",14,90,0
"JEFF","SV",90,90,1
"SICK","SV",64,90,0
"LGM","SV",45,90,0
"WAR","SV",61,90,0
"O'S","SV",85,90,0
"MASO","SV",47,90,0
"GRAF","ERA",3.834,3.178,0
"COGO","ERA",4.008,3.178,0
"$","ERA",4.26,3.178,0
"LOY","ERA",4.275,3.178,0
"JEFF","ERA",3.422,3.178,0
"SICK","ERA",4.164,3.178,0
"LGM","ERA",3.417,3.178,0
"WAR","ERA",3.178,3.178,1
"O'S","ERA",3.683,3.178,0
"MASO","ERA",3.804,3.178,0
"GRAF","WHIP",1.231,1.11,0
"COGO","WHIP",1.201,1.11,0
"$","WHIP",1.243,1.11,0
"LOY","WHIP",1.241,1.11,0
"JEFF","WHIP",1.164,1.11,0
"SICK","WHIP",1.233,1.11,0
"LGM","WHIP",1.129,1.11,0
"WAR","WHIP",1.123,1.11,0
"O'S","WHIP",1.11,1.11,1
"MASO","WHIP",1.159,1.11,0
